DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	6q25.3	6	160589086	LPA	LPA			ENSG00000198670			rs10455872-A	rs10455872	0	10455872	intron_variant	0	0.9267	4E-30	29.397940008672037				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	9p21.3	9	22102166	CDKN2B-AS1	CDKN2B-AS1			ENSG00000240498			rs7859727-C	rs7859727	0	7859727	intron_variant	0	0.51	4E-18	17.397940008672037				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	10q25.2	10	112995025	TCF7L2	TCF7L2			ENSG00000148737			rs35198068-T	rs35198068	0	35198068	intron_variant	0	0.71	4E-28	27.397940008672037				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	11q14.3	11	89284793	TYR	TYR			ENSG00000077498			rs1126809-G	rs1126809	0	1126809	missense_variant	0	0.7133	8E-13	12.096910013008056				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	11q23.2	11	113769120	ZW10	ZW10			ENSG00000086827			rs61905747-A	rs61905747	0	61905747	intron_variant	0	0.8167	4E-10	9.397940008672037				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	12q22	12	95187042	FGD6	FGD6			ENSG00000180263			rs12830425-G	rs12830425	0	12830425	intron_variant	0	0.0733	8E-9	8.096910013008056				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	12q24.12	12	111494996	ATXN2	ATXN2			ENSG00000204842			rs7137828-T	rs7137828	0	7137828	intron_variant	0	0.5167	5E-12	11.301029995663981				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	15q25.1	15	78525587	CHRNA3, CHRNA5	HYKK			ENSG00000188266			rs8042849-T	rs8042849	0	8042849	intron_variant	0	0.64	1E-24	24.0				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	15q26.1	15	90880313	FURIN	FURIN			ENSG00000140564			rs6224-G	rs6224	0	6224	intron_variant	0	0.53	2E-9	8.698970004336019				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	16q12.1	16	52537524	TOX3	TOX3			ENSG00000103460			rs4783780-A	rs4783780	0	4783780	intron_variant	0	0.5333	1E-8	8.0				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	16q24.3	16	89960104	DEF8	DEF8			ENSG00000140995			rs4268748-T	rs4268748	0	4268748	intron_variant	0	0.7067	7E-12	11.154901959985743				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	19p13.2	19	11091630	LDLR	LDLR			ENSG00000130164			rs6511720-T	rs6511720	0	6511720	intron_variant	0	0.12	4E-9	8.397940008672037				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	19q13.32	19	44908684	APOE	APOE			ENSG00000130203			rs429358-T	rs429358	0	429358	missense_variant	0	0.8533	1E-126	126.0				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2021-02-09	32678081	Timmers PRHJ	2020-07-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32678081	Multivariate genomic scan implicates novel loci and haem metabolism in human ageing.	Aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	at least 837,415 European ancestry individuals	NA	20q11.21	20	32511508	NOL4L/-DT	NOL4L			ENSG00000197183			rs159428-T	rs159428	0	159428	intron_variant	0	0.4633	4E-8	7.3979400086720375				NR [7320282]	N	longevity, healthspan, parental longevity	http://www.ebi.ac.uk/efo/EFO_0004300, http://www.ebi.ac.uk/efo/EFO_0009762, http://www.ebi.ac.uk/efo/EFO_0007796	GCST011100	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	2p16.3	2	50288880	NRXN1	NRXN1			ENSG00000179915			rs1356888-?	rs1356888	0	1356888	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	22q13.33	22	50666252	AC000050.2	ARSA - Y_RNA	ENSG00000100299	ENSG00000207127		38079	3552	rs9616906-?	rs9616906	0	9616906	intergenic_variant	1	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	15q12	15	26766994	GABRB3	GABRB3			ENSG00000166206			rs3212335-?	rs3212335	0	3212335	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	10p15.1	10	4007811	RP11-433J20.2	MIR6078 - LINC00702	ENSG00000274809	ENSG00000233117		16552	193330	rs2031577-?	rs2031577	0	2031577	intergenic_variant	1	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	12q24.31	12	120925921	TCF1, HNF1A	RPL12P33 - HNF1A-AS1	ENSG00000244585	ENSG00000241388		8685	15807	rs6489785-?	rs6489785	0	6489785	intergenic_variant	1	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	12q24.33	12	131040508	GPR133	ADGRD1			ENSG00000111452			rs3847687-?	rs3847687	0	3847687	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	18q23	18	76389985	ZNF516	ZNF516			ENSG00000101493			rs4891159-?	rs4891159	0	4891159	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	9q21.12	9	71169348	TRPM3	TRPM3			ENSG00000083067			rs4745062-?	rs4745062	0	4745062	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	20q13.33	20	61637438	CDH4	CDH4			ENSG00000179242			rs2024714-?	rs2024714	0	2024714	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	13q31.3	13	89970201	RP11-388D4.1	RPL7L1P1 - PEX12P1	ENSG00000234227	ENSG00000215418		136260	21630	rs2882281-?	rs2882281	0	2882281	intergenic_variant	1	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	3p21.31	3	48445934	RP11-24C3.2	TMA7 - ATRIP	ENSG00000232112	ENSG00000164053		1726	776	rs9876781-?	rs9876781	0	9876781	intron_variant	1	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	13q32.2	13	98474049	STK24	STK24			ENSG00000102572			rs9517320-?	rs9517320	0	9517320	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	13q32.1	13	95028031	ABCC4	ABCC4			ENSG00000125257			rs4148546-?	rs4148546	0	4148546	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	11p15.4	11	3015094	CARS	CARS1			ENSG00000110619			rs739401-?	rs739401	0	739401	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	7p22.3	7	1872586	MAD1L1	MAD1L1			ENSG00000002822			rs4721135-?	rs4721135	0	4721135	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	2p13.3	2	70537556	TGFA	TGFA			ENSG00000163235			rs432203-?	rs432203	0	432203	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	12q24.33	12	131600651	AC117500.2	LINC02370 - LINC02414	ENSG00000230294	ENSG00000256424		233096	38745	rs7315621-?	rs7315621	0	7315621	intergenic_variant	1	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	19q13.13	19	37834896	AC016582.2	WDR87BP			ENSG00000290722			rs16975963-?	rs16975963	0	16975963	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
2011-07-21	20834067	Yashin AI	2010-09-01	Aging (Albany NY)	www.ncbi.nlm.nih.gov/pubmed/20834067	Joint influence of small-effect genetic variants on human longevity.	Longevity	1,173 individuals	NA	7q33	7	134565570	AKR1B15	AKR1B15			ENSG00000227471			rs4732038-?	rs4732038	0	4732038	intron_variant	0	NR	1E-6	6.0	(less than or equal to)			NR [~ 550000]	N	longevity	http://www.ebi.ac.uk/efo/EFO_0004300	GCST000785	Genome-wide genotyping array
